,address1,address2,city,country,email,fax,latitude,longitude,name,phone,shelter_id,state,zip_code
83,5039 Cottage Hill Rd.,,Mobile,US,projectpurr@aol.com,,30.6594,-88.1635,"Project Purr Animal Rescue, Inc.",2512872413   ,AL328,AL,36609.0
84,,,Mobile,US,marla@adopt-a-kitty.org,,30.5965,-88.1906,Adopt a Kitty,251-404-0022  ,AL351,AL,36619.0
85,P.O. BOX 848,,Anniston,US,4Legs4Justice@gmail.com,,33.6597,-85.8317,4Legs4Justice Animal Advocate and Rescue,,AL420,AL,36202.0
86,2726 Bynum Leatherwood Rd,,Anniston,US,league4animalwelfare@hotmail.com,,33.6597,-85.8317,League for Animal Welfare,256-238-0380,AL91,AL,36202.0
87,,,Anniston,US,ToyBreedRescue@hotmail.com,,33.6579,-85.8314,Toy Breed Rescue,,AL35,AL,36201.0
88,,,Grand Bay,US,wagsandwhiskersrescuepets@yahoo.com,,30.4944,-88.3376,Wags and Whiskers,,AL387,AL,36541.0
89,"P.O. Box 6846, Avon Park, FL. 33826",,Alexander City,US,bbar@rescueteam.com,,32.9391,-85.9465,"Buddy's Buddies Animal Rescue, Inc",863-257-4228 ,AL279,AL,35010.0
90,2502 Sugar Creek Rd.,,Alexander City,US,lmhsdirector@gmail.com,,32.9391,-85.9465,Lake Martin Animal Shelter,(256) 234-5533,AL155,AL,35010.0
91,855 Owens Street,,Mobile,US,lursene@cityofmobile.org,,30.6817,-88.0679,City of Mobile Animal Shelter,251-208-2800,AL120,AL,36604.0
92,855 Owens St,,Mobile,US,info@adoptapetmobile.org,,30.6817,-88.0679,Friends of the Mobile Animal Shelter,251-208-2830,AL250,AL,36604.0
93,559 South Section Street,,Fairhope,US,info@havenforanimals.org,,30.5136,-87.8686,The Haven,(251) 929-3980,AL84,AL,36532.0
94,3190 Cahaba Heights Road,,Birmingham,US,cmbacvetsource@yahoo.com,,33.45,-86.7432,Cahaba Mountain Brook Animal Clinic Adoptions,205-967-6759,AL356,AL,35243.0
95,P.O. Box 361753,,Birmingham,US,info@adoptagoldenbirmingham.com,,33.5206,-86.8025,Adopt A Golden Birmingham,(205) 290-7788,AL360,AL,35236.0
96,,,Birmingham,US,sugarbellefoundation@gmail.com,,33.5206,-86.8025,Sugarbelle Foundation,,AL443,AL,35266.0
97,PO Box 43501,,Birmingham,US,PeaceLoveDogPawsRescue@gmail.com,,33.45,-86.7432,"Peace Love & Dog Paws Rescue, Inc.",(205) 542-4407,AL280,AL,35243.0
98,,,Mobile,US,info.newbeganimalrescue@gmail.com,,30.6817,-88.0679,New Beginnings Animal Rescue and Transport,(612) 361-7762,AL423,AL,36604.0
99,,,Birmingham,US,alabamarabbitrescue@gmail.com,,33.45,-86.7432,Alabama Rabbit Rescue,,AL427,AL,35243.0
100,,,Birmingham,US,Steelcitycatrescue@gmail.com,,33.3995,-86.7087,Steel City Cat Rescue,,AL419,AL,35242.0
101,,,Homewood,US,jill@wagshomewood.com,,33.4686,-86.8056,Wags N' Whiskers Rescue,(205) 902-9247,AL439,AL,35209.0
102,604 Gayle St,,Gardendale,US,jenna@mercyvets.com,,33.6632,-86.8213,Mercy Animal Hospital,(205) 631-4432,AL401,AL,35071.0
103,,,Birmingham,US,jono@gate.net,,33.5688,-86.7209,Rescued  Pets,205-427-7744,AL179,AL,35206.0
104,,,Birmingham,US,jennyFCDF@gmail.com,,33.4862,-86.7427,Friends of Cats and Dogs Foundation,,AL430,AL,35223.0
105,1356 Stonecrest Drive,,Birmingham,US,Schluv4u2@bellsouth.net,,33.6116,-86.6737,Schnauzer Love Rescue Inc.,,AL56,AL,35235.0
106,,,Hayden,US,sshaffer01@bellsouth.net,,33.8845,-86.8231,2nd Chance Animal Sanctuary,205-910-4423,AL140,AL,35079.0
107,,,Hayden,US,saveapreciouspaw@gmail.com,,33.8845,-86.8231,Rebeccas Paws and Claws,1205-454-2092 or 1-205-454-7908,AL313,AL,35079.0
108,,,Clay,US,info@alsiberianhuskyrescue.com,,33.7025,-86.5997,"Alabama Siberian Husky Rescue, Inc.",,AL317,AL,35048.0
109,,,Birmingham,US,k9resqofal@gmail.com,,33.5087,-86.7435,K9 RESQ of AL,,AL348,AL,35213.0
110,2808 Crescent Avenue,,Homewood,US,aaas2808@gmail.com,,33.4686,-86.8056,Alabama Animal Adoption Society,205-871-6351,AL28,AL,35209.0
111,,,Birmingham,US,rescue@alsosbeagles.com,,33.4248,-86.7892,SOS Beagle Rescue-Alabama Chapter,,AL244,AL,35216.0
112,,,Birmingham,US,contactus@weimrescue.com,,33.4396,-86.798,Weimaraner Rescue of the South,,AL48,AL,35244.0
113,P.O. Box 306,,Mc Calla,US,mail@bamabully.org,,33.3451,-87.0035,Bama Bully Rescue,,AL220,AL,35111.0
114,,,Birmingham,US,kbailey772@gmail.com,,33.4256,-87.0048,Saving Paws,,AL227,AL,35023.0
115,,,Bessemer,US,poundonthehill@gmail.com,,33.4095,-86.9462,Pound on the Hill Animal Rescue,205-478-7301,AL431,AL,35020.0
116,,,Helena,US,debbie@twobytworescue.com,,33.3018,-86.8302,Two by Two Rescue,Email only Please,AL139,AL,35080.0
117,3140  35th Street,,Tuscaloosa,US,jearp@metroanimalshelter.org,,33.1964,-87.562,Tuscaloosa Metro Animal Shelter,205-752-9101,AL52,AL,35401.0
118,P.O. Box 78,,Tuscaloosa,US,info@alabamaspca.org,,33.1964,-87.562,Alabama SPCA,205-440-3647 ,AL321,AL,35401.0
119,P. O. Box 1427,,Tuscaloosa,US,a.melvin@CanineCompassionFund.org,,33.2097,-87.5692,"The Canine Compassion Fund, Inc.",,AL413,AL,35403.0
120,,,Alabaster,US,heidi.tbg@gmail.com,,33.2481,-86.8177,Sanctuary Animal Rescue,(205) 837-4000,AL254,AL,35007.0
121,,,Alabaster,US,rgparker@samford.edu,,33.2481,-86.8177,Last Chance Dog Rescue Alabama,,AL268,AL,35007.0
122,,,Northport,US,gypsycaninerescue@gmail.com,,33.2291,-87.5774,Gypsy Canine Rescue,,AL414,AL,35475.0
123,,,Northport,US,operations@bhral.org,,33.2517,-87.5854,Basset Hound Rescue of Alabama Inc.,(888) 501-2472,AL05,AL,35476.0
124,3329 Blueberry Lane,,Alabaster,US,tweetyorama@gmail.com,,33.1313,-86.8522,Great Dane Rescue Inc.,734-454-3683 ,AL51,AL,35115.0
125,,,Hoover ,US,kittykathaven1@gmail.com,,33.4089,-86.8291,Kitty Kat Haven and Rescue ,(205) 302-8883,AL438,AL,35226.0
126,,,Northport,US,traceymrobertson@aol.com,,33.2441,-87.5921,Callie's Place,2057920197,AL412,AL,35473.0
127,,,Pelham,US,aarescue@aol.com,,33.319,-86.7994,Alabama Animal Rescue,,AL34,AL,35124.0
128,,,Vinemont,US,Dirtydawgrescue@gmail.com,,34.2467,-86.8655,Dirty Dawg Rescue,(256) 636-0926,AL236,AL,35179.0
129,USB 106  1612 2nd AVE SW,,Cullman,US,caawarescue@yahoo.com,,34.1747,-86.8436,CAAWA,256-636-4627 ,AL177,AL,35056.0
130,,,Trussville ,US,MustLovePawsRescue@gmail.com,,33.6297,-86.6118,Must Love Paws Rescue ,(205) 529-0999,AL442,AL,35173.0
131,P. O. Box 101,,Baileyton,US,fairydogmother@gmail.com,,34.2721,-86.5322,"Fairy Dogmother Rescue, Inc.",256-338-0371 ,AL165,AL,35019.0
132,J&LGRR,P.O. Box 1035,Point Clear,US,lkh5@mchsi.com,,30.4736,-87.9188,J & L Golden Retriever Rescue,LISA: (251) 404-0045 ,AL97,AL,36564.0
133,P. O. Box 50204,"Mobile, AL 36605",Mobile,US,bhaas@aideforanimals.org,,30.6332,-88.0877,Aide for Animals,251-463-1688 ,AL223,AL,36605.0
134,1826 Carl Jones Rd.,,Moody,US,crossroadsanimalhospital@yahoo.com,,33.6041,-86.4856,"Rotties & Notties, Inc. / Crossroads Animal Hospital",205-640-4327  ,AL293,AL,35004.0
135,1071 Airport Rd,,Pell City,US,animalcenter@cityofpellcity.net,,33.5602,-86.2724,Pell City Animal Control Center,(205) 814-1567,AL432,AL,35128.0
136,,,Pell City,US,aspci.org@gmail.com,,33.5602,-86.2724,ASPCI,,AL61,AL,35128.0
137,,,Talladega,US,alabamahart@gmail.com,,33.4276,-86.1049,Homeless Animals Rescue Team,256-649-0971,AL311,AL,35160.0
138,809 W McMillian St.,,Talladega,US,talladegaanimalcontrol@hotmail.com,,33.4276,-86.1049,Talladega City Animal Control,256-362-5856,AL224,AL,35160.0
139,,,Grant,US,elisabethstewart50@gmail.com,,34.4914,-86.2728,"Southern Skies Labrador Rescue & Adoption, Inc.",,AL363,AL,35747.0
140,,,Guntersville,US,Godsferalfelines@gmail.com,,34.3299,-86.3006,God's Feral Felines Inc.,(256) 960-0538,AL428,AL,35976.0
141,,,Eva,US,greatandsmall15@yahoo.com,,34.3328,-86.7586,Great and Small Foundation,(256) 740-7738,AL421,AL,35621.0
142,P. O. Box 413,,Guntersville,US,home4-3georges@charter.net,,34.3299,-86.3006,Red Oak Rescue,(256) 293-7066,AL384,AL,35976.0
143,1609 Henry Street,,Guntersville,US,jeanniegah@chyoung.net,,34.3299,-86.3006,Guntersville Animal Shelter,256-582-3184    ,AL93,AL,35976.0
144,256 Oak Road,,Horton,US,friendsofmarshallcountyanimals@gmail.com,,34.2323,-86.285,Friends of Marshall County Animals,256-505-7730,AL418,AL,35980.0
145,255 Central Plank Rd. (Hwy9),,Wetumpka,US,hselco@bellsouth.net,,32.5308,-86.2006,Humane Society of Elmore County,334-567-3377         ,AL24,AL,36092.0
146,,,Montgomery,US,labaumgardner13@charter.net,,32.3732,-86.1863,"Pets Are Worth Saving in Alabama, Inc.(PAWS-AL)",,AL404,AL,36117.0
147,424 Blount Ave,Attention: ACO,Guntersville,US,marshallcoaco@gmail.com,,34.3299,-86.3006,Marshall County AL Animal Control,256-960-0960,AL386,AL,35976.0
148,,,Montgomery,US,everycolorrescue@yahoo.com,,32.3544,-86.2707,Helping Shepherds of Every Color Rescue,,AL194,AL,36106.0
149,P.O. Box 304,,Locust Fork,US,met@otelco.net,,33.9075,-86.6153,Crossing Paths Animal Rescue,,AL186,AL,35097.0
150,230 Heroes Lane,,Arab,US,Arabanimalshelter@gmail.com,,34.3259,-86.4903,Arab Animal Shelter,256-931-7270,AL87,AL,35016.0
151,1150 John Overton Drive,,Montgomery,US,msspeedy307@hotmail.com,,32.4178,-86.2812,Montgomery Humane Society,(334) 409-0622 ,AL01,AL,36110.0
152,PO Box 37,,Buhl,US,adoptngl@gmail.com,,33.2372,-87.7391,No Greater Love,,AL383,AL,35446.0
153,P.O Box 474,,Demopolis,US,bigbeehumane@gmail.com,,32.5048,-87.8387,Bigbee Humane Society,334-341-1567,AL310,AL,36732.0
154,,,Marion,US,,,32.6152,-87.3329,Perry County Animal Shelter / Dog Bone Rescue,(334) 683-9872,AL166,AL,36756.0
155,154 Shady Lane,,Cleveland,US,ron@fcdf.org,,33.9904,-86.5771,Blair Humane Society,205 274 9971  ,AL264,AL,35049.0
156,410 Loop Rd,,Reform,US,pickenscountypartnersforpets@gmail.com,,33.4039,-88.0847,Pickens County Partners for Pets,(205) 765-5478,AL435,AL,35481.0
157,P.O.Box 511,,Selma,US,lynnsanders01@gmail.com,,32.4174,-87.046,Humane Society of Central Alabama,(334) 431-0476,AL437,AL,36701.0
158,,,Jemison,US,jjdogworld@gmail.com,,32.9613,-86.7306,"Joe Jackson's Dog World, Inc.",205-646-3070,AL346,AL,35085.0
159,381 McDow Road,,Columbiana,US,info@shelbyhumane.org,,33.1905,-86.5957,Shelby Humane Society,(205) 669-3916,AL09,AL,35051.0
160,1009 Rueben Rd,,Prattville,US,autaugahumane@yahoo.com,,32.4819,-86.4937,Prattville/Autauga Humane Society,334-358-2882 ,AL122,AL,36067.0
161,,,Prattville,US,hotelpitbull@yahoo.com,,32.4677,-86.4385,Hotel Pit Bull,904 307 2717,AL397,AL,36066.0
162,P.O. Box 4366,,Fayetteville,US,animalleaguewc@gmail.com,,36.0625,-94.1572,Animal League of Washington County,479-263-7058,AR303,AR,72702.0
163,3800 Kelley Hwy.,P.O. Box 10953,Fort Smith,US,chelsearogers0@gmail.com,,35.3248,-94.302,Sebastian County Humane Society,479-783-4395,AR20,AR,72917.0
164,,,Fayetteville,US,lostloveanimalrescue@hotmail.com,,36.0628,-94.1611,Lost Love Animal Rescue,,AR177,AR,72701.0
165,P.O. Box 10766,,Fort Smith,US,cat@pets-haven.com,,35.3248,-94.302,Pets-Haven Animal Rescue,,AR112,AR,72917.0
166,,,Waldron,US,dogtiredjanet@hotmail.com,,34.8955,-94.0839,Homeless Pets Lifeline,(479) 216-6044,AR241,AR,72958.0
167,P.O. Box 1551,,Little Rock,US,helpinghandsforlittlepaws@yahoo.com,,34.7464,-92.2894,Helping Hands For Little Paws,501-888-2702   ,AR17,AR,72203.0
168,4649 W. Mayes Drive,,Fayetteville,US,Contact@SpensersLegacy.org,,36.0628,-94.1611,Spenser's Legacy Animal Rescue,479-601-7202,AR191,AR,72704.0
169,"PO Box 30321 Little Rock, AR 72260",,North Little Rock,US,info@arfarkansas.com,,34.8377,-92.2124,ARFA,,AR122,AR,72120.0
170,PO Box 523,1040 E. Main,Clarksville,US,Needypawsanimalshelter@yahoo.com,,35.4667,-93.4733,Needy Paws Animal Shelter,479-754-4200,AR05,AR,72830.0
171,POB 118,,Charleston,US,shayes@tigersmail.org,,35.2979,-94.0309,Charleston Dog Shelter,479-965-3591  ,AR105,AR,72933.0
172,,,mount vernon,US,gdarescue@gmail.com,,35.2213,-92.1444,Greener Days Ahead Rescue,,AR335,AR,72111.0
173,112 Johnston Road,P.O. Box 8242,Searcy,US,hss@cablelynx.com,,35.2486,-91.7607,The Humane Society of Searcy,501-268-3535,AR96,AR,72143.0
174,2951 South First Street,,Cabot,US,vetspet80@yahoo.com,,34.9641,-92.0128,Cabot Animal Control,(501) 843-2021,AR58,AR,72023.0
175,6500 North Hills Blvd.,,Sherwood,US,,,34.8091,-92.2345,Sherwood Humane Animal Services,501-834-2287,AR29,AR,72116.0
176,1733 N. Crossover Road,,Fayetteville,US,arweimrescue@gmail.com,,36.0628,-94.1611,Arkansas Weimaraner Rescue,(479) 530-0330,AR199,AR,72701.0
177,P.O. Box 1526,,Magnolia,US,hpanimalalliance@gmail.com,,33.2718,-93.2334,H&P Animal Alliance,870-234-3131,AR299,AR,71753.0
178,1640 S. Armstrong Ave.,,Fayetteville,US,animal_services@ci.fayetteville.ar.us,,36.0628,-94.1611,Fayetteville Animal Shelter,479-444-3456  ,AR47,AR,72701.0
179,1020 South One Mile Rd,,Fayetteville,US,animalservices@hsozarks.com,,36.0628,-94.1611,The Humane Society of the Ozarks,(479) 444-7387,AR79,AR,72701.0
