,shelter_zip_code,shelter_city,shelter_description,shelter_name,shelter_state,shelter_website,state_abbr
10,36862,Lafayette,"A 501c3 Not-For-Profit Organization dedicated to rescuing, rehabilitating and finding homes for abandoned, abused and neglected Toy Breeds.    Postal Mail: PO BOX 267  LaFayette, AL 36862 Voice Mail: 954-989-9766",Chihuahua Toy Breed Rescue & Retirement,Alabama,http://www.adoptapet.com/adoption_rescue/69080.html,AL
11,80437,Evergreen,"EAPL is a nonprofit, volunteer organization dedicated to providing aid to lost, abandoned and suffering animals through rescue, shelter and education. Since our inception in April 1981, we have provided a better life for thousands of animals.  Mission: EAPL is a nonprofit, volunteer organization dedicated to providing aid to lost, abandoned and suffering animals through rescue, shelter and education. Since our inception in April 1981, we have provided a better life for thousands of animals.   Postal Address: P.O. Box 2517 Evergreen, CO 80437  Call Us: 303-674-6442","EAPL, Evergreen Animal Protective League",Alabama,http://www.eapl.com,AL
12,36867,Phenix City,East Alabama Humane Society is a 501c3 nonprofit organization made up of dedicated volunteers. EAHS is a 501c3 nonprofit organization whose mission is to rescue dogs and cats from euthanasia. We are pleased to be the only no kill shelter in Russell County. We try to save as many pets as we can from our local pound and give them a warm bed and lots of love until they meet their forever families. We treat each and every single dog like it was our own and they all know what it means to be loved. We are completely non profit and rely on public donations and adoptions. Each and every one of us here are here for the animals sake and take pride in knowing we are helping so many homeless animals find their forever homes.   You may contact EAHS at 334-298-6446 or 706-681-5002 Hours Of Operation: 10am-6pm MONDAY-FRIDAY 12pm-5pm SATURDAY 12pm-4pm @PetSmart SATURDAY We are located on 13th St in Phenix City behind Bens Body Works,"East Alabama Humane Society, Inc.",Alabama,http://www.eahs4pets.com/,AL
13,35805,Huntsville,"The Greater Huntsville Humane Society (GHHS), established more than 40 years ago is a 501(c)3, No-Kill Shelter. Operationally GHHS is run by many Volunteers, Staff, Executive and Development Directors and a governing body of Board of Directors still dedicated to the mission and goals set over 40 years ago. GHHS is financially supported by private generous donors, the Huntsville community, grants and local and national corporate sponsorships.    Address: 2812 Johnson Road Huntsville, AL 35805  Call Us: 256-881-8081",Greater Huntsville Humane Society,Alabama,http://greaterhuntsvillehumanesociety.org,AL
14,36064,Pike Road,"German Shepherd Rescue of Central Alabama is an all volunteer 501(c)(3) non-profit, 'No Kill' rescue organization. We rescue German Shepherds out of shelters and from abusive situations. We take in abandoned and stray dogs, and we take owner surrenders as space allows. All dogs are neutered or spayed, current on shots and have tested negative for heartworms before they are placed in their forever home. These dogs are kept in private homes and will be shown by appointment only to APPROVED applicants. We do our best to help out any German Shepherd dog in need (primarily in the state of Alabama); unfortunately, we have limited space and finances. It takes time and money to get most of our rescue babies up to good health and full adoption status. We also help people who are having problems with their German Shepherds. We would like to help owners work through the problems rather than have to give their dog up.   Postal Address: PO Box 640561 Pike Road, AL 36064  Call Us: (334)-322-1811","GSRCA, German Shepherd Rescue of Central Alabama",Alabama,http://www.petfinder.com/shelters/AL80.html,AL
15,35016,Arab,"Founded in 1997 by Silvia and David Harvey, Happy PAWS Haven (Progressive Animal Welfare System) is located in Arab, Marshall County, Alabama.  Happy PAWS Haven, Inc., a no-kill, no-kennel, spay and neuter Companion Animal Shelter, received the IRS 501(c)3 Federal Non-profit Agency status in January 2002. Our EIN number is 72-1519078. This allows all donations to be tax-deductible that follow IRS guidelines.   Address: 59 Granada Rd Arab, AL 35016  Call Us: 256-653-1674","Happy PAWS Haven, Inc",Alabama,http://www.happypawshaven.org,AL
16,35404,Tuscaloosa,"The Humane Society of West Alabama , founded in 1971, is a no-kill, all-volunteer, nonprofit organization. We have no administrative costs, so most of our funds are spent on direct aid for the dogs and cats in our care. We receive no money from any governmental agency or national humane organization. We are totally dependent on donations and fund-raisers to continue our work.  What We Do  *We find loving adopters for homeless, neglected, and/or abused dogs and cats and other animals. *We maintain lists of lost and found animals.  *We maintain lists of pets needing new homes and people seeking pets, and we assist others with vet care and finding homes for rescued animals.  *We document calls concerning animal cruelty and route these cases to the proper authorities.  *We are an information-and-referral service and have an extensive file of contact names and numbers. *We assist needy members of our community with caring for their pets, including education, food and shelter and vet care.   Rescue  In 2009, we found homes for 112 rescued dogs, 74 cats and 3 horses. We helped trap, neuter and relocate a dozen feral cats. We also assisted with more than 50 other adoptions (helped people get vet care for and find homes for animals they rescued). Through our Lost and Found page, we helped numerous lost animals get back home. We regularly care for about 80-100 animals waiting for adoption.   Address: 1515 Veterans Memorial Parkway  Tuscaloosa, AL 35404 Phone: (205) 554-0011",Humane Society of West Alabama,Alabama,http://www.humanesocietyofwa.org/,AL
17,nan,Huntsville,"We are a small group of domestic rabbit lovers in the Huntsville Alabama area. We are a 501©3 Federal non-profit group, and all donations towards our work are tax deductible.   Huntsville Friends of Rabbits exists to educate the public about rabbit behavior and care and to support domestic rabbits who come in to our local shelters, primarily those who are sick or injured. We rehabilitate these bunnies and then find them loving, permanent homes.",Huntsville Friends of Rabbits,Alabama,https://www.huntsvillefriendsofrabbits.com,AL
18,35085,Jemison,"Joe Jackson's Dog World Inc. is a 10 acre dog park where people can come and bring their pets and just have a relaxing time with their dogs. It will also have an RV park hopefully by the fall of 2013. Also in the plans are horse trails so we can hopefully create a unique outdoor experience for everyone. It will also encompass a Dog Rescue; including a sanctuary building built on the property in which there will be a two bedroom/ 1 bath apartment, an inside and outside dog training facility, and a muti-purpose/bathing area. On the main floor, there are runs for the rescue dogs. At night, they will be housed in dens located there. Each rescue will have a den, in which they’ll sleep and have cover from the elements, and a run, in which they will be able to move around and experience the day, when not in the dog park. Joe Jackson's Dog World Inc. is a no-kill dog sanctuary.   Address: 47 County Road 170 Jemison, Alabama 35085  Call Us: 205-646-3070",Joe Jackson's Dog World Inc.,Alabama,http://joejacksonsdogworld.blogspot.com/,AL
19,36201,Anniston,"Non profit, 501 c, we are a small facility and a no kill shelter.  The League for Animal Welfare (L.A.W. ) is an all volunteer organization dedicated to finding homes for all adoptable dogs and cats. We also are strong supporters of Spay / Neuter programs.  Our funding comes from donations, bake sales, yard sales, roadblocks and a variety of other activities. We have no ties to any government program.  Anyone is welcome to join us. The only criteria for membership (aside from paying membership dues) is a desire to place all adoptable pets in loving homes.  We have a low income spay/neuter program.   Address: 2726 Bynum -Leatherwood Rd. Anniston, Alabama  Call Us: 256-238-0380","L.A.W  League for Animal Welfare, Inc.",Alabama,http://leaguepets.org,AL
20,36322,Daleville,"Our Mission  To provide shelter, medical care, and spay/neuter treatment for stray and owner-surrender dogs until loving, forever families are approved for adoption.   Our Vision  To become an affordable, convenient spay/neuter agent, and pet care resource which will greatly reduce the number of pets surrendered and euthanized within our area.  Our Program...  Since 2002, Lil' Tykes Rescue &amp; Adoption has been providing education and outreach to our community of pet owners. Our outreach also includes taking in local stray and unwanted dogs as well as rescuing dogs from high-kill shelters throughout Alabama, some parts of Northwest Florida, and other surrounding areas.  Once in our care, we provide our companion pets with spay/neutering, heartworm testing (and treatment if positive), and all needed vaccinations. Additionally, we provide medical treatments for open wounds, broken bones, skin problems, dental and eye problems. We also rehabilitate dogs that come from abusive situations.  We have a no-kill policy and place as many dogs as possible in happy forever homes in our area. And, whenever needed, a sister shelter in Florida has had good success finding safe &amp; happy forever homes for some of our unplaced rescued dogs.   Address: 2804 Hwy 84 West  Daleville, AL 36322   Phone: 334-598-2473",Lil' Tykes Rescue & Adoption,Alabama,http://www.petfinder.com/shelters/liltykes.html,AL
21,36507,Bay Minette,"The North Baldwin Animal Shelter is a non profit privately funded, “no kill” animal shelter which opened in June of 2010 in Bay Minette, Alabama. The state of the art facility, boasts more than 7,000 square feet and sits on 5 acres at 1700 McMeans Avenue in Bay Minette. Our shelter was established as a place to care for animals from the Bay Minette City Animal Shelter until adoption. We now accept animals as space permits on a hardship basis. The animals are first vet checked, spayed or neutered, vaccinated and then transported to the shelter where they will remain until adoption.  Our dogs are housed in nice sized indoor/outdoor runs and are let out 2-3 times a day in our large fenced yard space. Volunteers spend the afternoons walking the dogs through beautiful nature trails. Our cats and kittens spend most of their day cage free in well sized cat rooms complete with cat toys and climbers. Visitors are typically welcomed at the door by a number of friendly small dogs lucky to spend the day as our lobby greeters.  The shelter is currently run by Judy Wilkins as Director, Beverly Poiroux as Assistant Director, and a staff of dedicated volunteers.   Address: 1700 McMeans Ave Bay Minette, AL 36507  Call Us: 251-937-8811",North Baldwin Animal Shelter,Alabama,http://northbaldwinanimalshelter.com,AL
22,35671,Tanner,"Peace Love and Animals is a non-profit NO KILL animal shelter in Tanner, AL. We are supported by an amazing staff of volunteers that work any and all hours to help our dogs, as well as the two wonderful owners of the shelter, Cathy and Mike.    Address: 19135 Nuclear Plant Rd Tanner, AL 35671  Call Us: 256-233-4343",Peace Love and Animals,Alabama,http://www.peaceloveandanimals.org,AL
23,36831,Auburn,"Rescue k911 is a non-profit, no-kill organization dedicated to reducing overpopulation, abuse and neglect of domestic animals. Rescue K911 is run entirely by compassionate like-minded professionals who volunteer their time and resources to help save the lives and then care for these animals. Since 1997, we have successfully placed over 1,000 animals in loving homes.  We are a 501(C) 3 Non profit Organization, our Tax ID# is 63-1253858.   Mailing Address: PO Box 862 Auburn, AL 36831-0862  Call Us: (256)896-4694",Rescue K,Alabama,http://www.rescuek911.com,AL
24,35768,Scottsboro,"Safe Haven is a 501c-3 non-profit organization. This No-Kill organization has been locally established since 2006. Safe Haven rescues pets who have been abandoned, abused or surrendered. More than 2,000 animals have been saved and given a new life. The main source of rescue pets is the local city shelter. Animals are taken from the shelter just before they are euthanized. Once rescued, animals are then spayed/neutered, brought up to date with shots, checked for heartworms, and treated for fleas and ticks (as funds are available). Animals are then put up for adoption.  Safe Haven relies solely on fundraisers and donations. Please consider helping us help these animals into loving homes and give them a real chance at life.   Postal Address:  P.O. Box 962 Scottsboro Alabama United States 35768  Call Us: 1-256-259-2390 or 1-256-886-1384",Safe Haven,Alabama,http://www.safehavencatsanddogs.com,AL
25,35007,Alabaster,"Sanctuary Animal Rescue is dedicated to creating the perfect match between owner and pet. We have available dogs, both small and large, puppies, cats and kittens. In addition, we aim to help control the overpopulation of cats and dogs and to decrease the number of unwanted animals in central Alabama. In essence we are finding caring homes for loving animals. If you are looking for a specific pet, we keep a current wish list, so let us help you find your dream pet!!!  A no kill rescue for dogs and cats.   Contact Information:  Heidi Alabaster, AL 35007  Call Us: (205) 837-4000",Santuary Animal Rescue,Alabama,http://www.sanctuaryanimalrescue.com/,AL
26,35243,Birmingham,"Save Our Strays is a non-profit all volunteer organization developed and founded on the principle that no animal in our care will be put down. We realize that we can’t save all of the animals in need, but what we can do matters to each one we do save.  Our mission is to find permanent homes for abandoned and stray cats. We are a no kill organization and therefore do not destroy animals to make room for more. Cats are cared for in volunteers’ homes until they are ready for adoption. All are sterilized, have received the appropriate vaccines and are combo tested for feline leukemia and FIV prior to adoption.   Address: P.O. Box 43057  Birmingham, AL 35243",Save Our Strays,Alabama,https://www.facebook.com/SaveOurStraysBirminghamAlabama,AL
27,36330,Enterprise,"Save Our Strays (S.O.S.) Animal Shelter was founded in 1981 to rescue, shelter and adopt neglected, abused and homeless dogs and cats in the city and local counties. In 1987, six years later, the shelter was constructed with many hours of hard work by dedicated volunteers and contributions from caring individuals and businesses.  OUR COMMITMENT ...is to maintain a no-kill shelter, and to end the tragedy of pet overpopulation. To date we have rescued, rehabilitated, spayed, neutered, and adopted out over 3,000 pets. Regretfully, we turn many animals away because our current facilities are too small and understaffed. We are still struggling against the barren backdrop of skeleton funding and minimal volunteer interest, however we persevere with our mission of compassionate care. This is no small mission either, because on any given day there is an average of 100 dogs and cats waiting for another chance.   Address: 25944 HWY 84/134 Enterprise, AL 36330 Call Us: (334) 393-1743",Save Our Strays,Alabama,http://sosshelter.com,AL
28,nan,Decatur,"Decatur, AL Phone: 256-351-1862  My name is Bettina Rister, and I am 27 years old. Almost 12 years ago, I purchased a Scottish Terrier from a ""breeder"" in Alabama. It turned out that ""breeder"" was what most people refer to as a ""puppy miller"". She was breeding about 12 different types of dogs and didn't even allow us to see the mother when we looked at the puppies. The puppy I bought that day, changed my life forever. She had tons of medical problems, red mange, allergies, thyroid deficiency, and eventually succumbed to cancer just a few short months ago at the age of 11 1/2, far too young for a Scottie to be dying. She taught me about training, she taught me patience, and she brought to my attention the need for rescue. We spent untold sums on keeping her healthy, and I often wondered what happened to her siblings had they gone to homes not as dedicated as ours were or as financially able to provide for them. It was this driving worry that prompted me to start doing rescue.   STRNA, or Scottish Terrier Rescue of North Alabama was officially formed in 1995 and has since rescued and placed or helped in placing dozens of dogs in new homes. I decided to concentrate my rescue efforts and keep myself from being overwhelmed, so I dedicated myself to Scottish Terrier rescue.   I rescued my first Scottie almost 6 years ago. She was a stray, and in terrible shape. I took her to the vet's office and she was running a very high fever. Her hair was missing from her shoulders back, she was skinny and covered in fleas and ticks. The vet's were worried that she might have distemper. It was nearly 3 weeks before she began to recover, but she pulled through very well. She now lives with her adoptive family and has a wonderful life. Her owners named her Madeleine. Since then I have rescued many more animals, not all Scotties, and found them permanent loving homes as well.",Scottish Terrier Rescue of North Alabama,Alabama,http://www.petfinder.com/shelters/strna.html,AL
29,35957,Boaz,"We are a no-kill, limited admission shelter. Alabama law dictates that a dog only has to be held seven days once it is picked up by animal control (Alabama ST 3-7A-8). For that reason we acquire most of our dogs from local animal control departments. Only rarely are we able to accept a dog from the general public. However, our Facebook page is always open to anyone who wishes to post pictures and information on free animals needing a home.   At Second Chance Shelter we want dog care and adoption to be a favorable, uplifting experience for people and pets alike. While we occasionally we have to deal with the tragic side of animal welfare we strongly prefer to focus on providing a positive life from rescue forward.   Address:  130 County Road 398 Boaz, AL 35957  Call Us: Doug and Wanda McGee 256-561-2411",Second Chance Shelter,Alabama,http://www.secondchanceshelter.net/,AL
30,36202,Anniston,"SSTR is a 501c 3 Non-Profit charity organization, dedicated to rescuing, rehoming and providing sanctuary care for abandoned, abused and homeless toy breeds. Focusing on Shelter and Puppy Mill Dogs-",Southern Shih Tzu and TOY BREED Rescue,Alabama,http://www.ToyBreedRescue.org,AL
31,35806,Huntsville,"139 Bo Cole Road  Huntsville, AL 35806   The ARK, Inc., a non-profit organization, was incorporated in 1990 to help rescue unwanted, sick, injured, orphaned, and abandoned animals. Through newsletters to members, pet shows, and many other special events, The ARK helps promote proper care and humane treatment of animals.   The ARK was incorporated for the purpose of rescuing animals from shelters before they are put to death. The ARK's main mission is to ensure a good quality of life for each animal rescued by adopting it to responsible citizens that will provide care and a loving home.",The ARK,Alabama,http://www.arkinc.org/,AL
32,36532,Fairhope,"The Haven is a no-kill animal shelter that has been recoginzed for having one of the highest save rates in the state of Alabama. Because of this, many people want to bring their pets to us that they can no longer keep or strays they have found to us as an alternative to bringing them to an open admission animal control shelter. The Haven would love to be able to help every animal, but we must remain realistic and be responsible for the animals we already promised our services to, Therefore, we pull homeless cats and dogs from our local partnering open admission animal control shelters. The Haven does not take animals from the general public. Our animals that are pulled from partnering AC shelters are usually scheduled to be euthanized due to overcrowding, illness and/or injuries. Our partnerships have steadily reduced the number of animals euthanized and also reduced the number of animals from entering the shelters over the past several years. We do offer assistance with re-homing pets, but the pet owner must be able to foster the pet until a furever home can be located.   Address: 559 S. Section Street Fairhope, Alabama 36532  Call Us: 251-929-3980",The Haven,Alabama,http://www.havenforanimals.org/,AL
33,36541,Grand Bay,"Third Coast Animal Rescue is a 501(3)c, all volunteer rescue to dedicated to helping at-risk, abused and neglected dogs find forever homes as we work towards a no-kill nation. We work tirelessly to promote and support life-saving initiatives that enable responsible pet guardianship while treating each animal and adopter as an individual. Additionally, we provide education for prospective adopters about the responsibilities of, and resources to successfully support, the addition of a dog to their families.   Address: 7600 Theodore Dawes Rd Theodore, Al 36582  Call Us: 251-366-6668",Third Coast Animal Rescue,Alabama,http://www.adoptapet.com/third-coast-animal-rescue/about/,AL
34,35080,Helena,"A 501 C (3) not-for-profit, no-kill organization.  Two by Two Animal Rescue began in 2002 when Sonya Smith began feeding strays in Old Town Helena. She noticed another concerned citizen had been leaving food for them too and placed a note in a bowl. The note was found. They met and combined their efforts to rescue the many stray dogs dodging traffic. Their work continues today on a grander scale, striving to save the lives of unwanted, abused, and abandoned animals. Two by Two's goal is to care for these rescues until they find their forever homes, and educate the public about responsible pet care. Our animals are fully vetted, spayed or neutered and microchipped. They are treated regardless of age, breed, or medical cost. Two by Two receives no state funding or government assistance. We survive by the donations of caring people, fund raising, and adoption fees. Since we do not have a facility, most of our pets are kept in private foster homes in Birmingham and the surrounding areas of Helena, Pelham, Hoover, and Alabaster.   Two by Two Rescue P O Box 708 Helena, AL 35080  Email Sonya King:",Two by Two Animal Rescue,Alabama,http://twobytworescue.com,AL
35,35401,Tuscaloosa,"2615 6th Street, Suite 2  Tuscaloosa, AL 35401   WAAR is a non-profit tax-exempt, animal rescue and re-homing organization dedicated to the rescue of animals who have been abused, abandoned, lost, starving, those living in unbearable conditions and those facing certain euthanasia in the Metro Animal Shelter. We are sorry but we cannot take animals from the public . . what funds we have must be spent on the many homeless animals rescued from our local shelter. We receive no local, state or federal funding. Donations from our many friends and our own efforts, thru fundraisers, are our only source of income. Medical expenses for the animals we rescue represent 100% of every donated dollar.",West Alabama Animal Rescue,Alabama,http://www.adoptapet.com/adoption_rescue/70202.html,AL
36,99687,Wasilla,"Welcome to Alaska Equine Rescue. We are a state- wide 501(c)(3) non-profit organization whose mission is to help starving, neglected and abused hooved animals in Alaska, especially horses.   Our goal is to prevent future instances of starvation and neglect through a network of education, teamwork, and intervention. Neglected or unwanted horses that join the AER family are nurtured back to health and adopted to responsible, humane permanent homes.   Alaska Equine Rescue has no paid staff, and is managed entirely by volunteers. Our support comes from our annual fund raiser, public contributions and small grants. If you wish to support our our mission, please, make a tax-free contribution.   Address: P.O. Box 771174 Eagle River, Alaska 99577  Toll-free from within Alaska: 1-888-LUV-HORS (588-4677)",Alaska Equine Rescue,Alaska,http://www.alaskaequinerescue.com/,AK
37,99518,Anchorage,"1224 E. 76th Avenue Anchorage, AK 99518  Adopt-a-Cat is a non-profit, NO KILL cat shelter housing more than 200 cats.  We provide, if needed, a permanent home for all cats in our care, even the unadoptable cats.  We tests all cats for Feline Leukemia and place positive cats in a separate room where they can enjoy their natural life in peace. We spay or neuter and vaccinate all cats.  The shelter was founded in 1979 by Lori Oswald, Madeline Cibil, Jerilee Gay, Tim Metcalf, Rev. Richard R. Gay, and Robert E. Mintz.  Today the shelter is staffed by over 15 active volunteers and funded exclusively by donations.  Through the years, the Adopt-a-Cat shelter has found loving homes for over 1000 homeless cats!  All cats are living totally free in the shelter and cages are used only for the newcomers' quarantine.   (907) 344-8808",Alaska Humane Society,Alaska,http://www.adopt-a-cat.org/,AK
38,99515,Anchorage,"Helping Belgian Malinois, Dutch, &amp; German Shepherds in need. Serving Anchorage, Matsu Valley, JBER, and the Kenai Peninsula.  We are a foster based rescue.   Call Us: 907-350-5201",Alaska Shepherd Rescue,Alaska,http://www.facebook.com/akherderlover,AK
39,99635,Nikiski,"PO Box 8051 55013 Coral Street Nikiski, AK 99635  Welcome to Alaska's No-Kill animal sanctuary for adoptable animals. No kill does NOT mean we are a warehouse for aging animals. It does mean that we will not kill an animal because we have not found them a home yet. We have formed a coalition of City Shelters and reputable rescue groups across this State. All members are working to stop the killing of adoptable animals on the Kenai by 2011. Our aggressive spay and neuter program, coupled with STOP's Voucher Programs (both in fund raising mode right now) and the Alaska SPCA's mobile clinic (not in operation for lack of funds), we are making a difference. Kenai Veterinary Hospital handles the majority of our animals, they accept spay &amp; neuter voucher programs.  We are Alaska's representative in the National No More Homeless Pets Campaign. Soon to come will be links on our web site to all members of the state coalition for no kill programs.",Alaska's Extended Life Animal Sanctuary,Alaska,http://www.aelas.petfinder.com,AK
40,99615,Kodiak,"The Humane Society of Kodiak has been in existence since 1993. Our organization was contracted by the City of Kodiak to operate the animal shelter in 1995, changing it to a “No Kill” shelter for friendly, adoptable animals in 1997 thanks to community support. It is solely through memberships and donations that we are able to spay/neuter and provide other veterinary care for the animals awaiting adoption. We are not members of, nor are we formally affiliated with the Humane Society of the United States or the American Humane Society. We have our own bylaws and mission statement and operate independently to service Kodiak Island in it’s entirety servicing the City, Borough, Villages, and the Coast Guard Base. Our focus, and the point to our fundraising, is to prevent the cruelty of animals through education and other implementation by promoting responsible pet ownership, reducing the population of abandoned pets through spay/neuter programs and to promote the proper care of animals impounded at the shelter. Our board is made up of community members who enjoy the Alaskan lifestyle and have lived on Kodiak Island for many years.    2409 Mill Bay Rd PO Box 8783 Kodiak, AK 99615  Call Us: (907)486-8077",Humane Society of Kodiak,Alaska,http://www.kodiakanimalshelter.org,AK
41,99705,North Pole,"President: Donna Buck-Davis Mailing Address: 1360 Old Richardson Hwy. North Pole, Alaska 99705 ph:907-488-0516  She takes in any breed of dog or cat and has rescued bunnies, ferrets, and other small animals too. She specializes in the old and the disabled.   She is also responsible for the one and only low-cost spay/neuter program in our area.",Loving Companions Animal Rescue,Alaska,http://www.lovingcompanionsanimalrescue.org,AK
42,99830,Kake,"Tinker's Dream is a 501c3 that was created as a ""pay it forward"" program to celebrate her impact on her owner's life. Tinker went from being a rescue dog to a working service dog allowing her partner to return to work full time.  While out focus is on rescuing Newfoundland &amp; Newfoundland mixes. We also assist other individuals with training their own service dogs. We will also continue to partner with other organizations for educational programs.   PO Box 221 Kake, AK 99830",Tinker's Dream,Alaska,http://www.tinkers-dream.org,AK
43,85034,Phoenix,"This organization was established in response to the growing number of beautiful pets being euthanized and suffering daily in our county pounds.  MISSION  Our mission is to rescue and find loving homes for as many homeless pets within our capabilility.   Karen Franklin, Owner   Call Us: (480) 229-9530  101 North 55th Suite #3 Phoenix, AZ 85034",Da Rescue,Arizona,http://www.2darescue.org/,AZ
44,85021,Phoenix,"Adorable Dog Rescue is in dire need of loving Foster Homes to care for our wonderful rescued dogs while they are waiting to be adopted. All provisions and medical care are provided.  Our mission is to be sure that the dogs in our care are never homeless again. Therefore, we exert our best efforts to ensure a perfect match between the dog and the applicants. Home visits are done whenever possible and will be arranged after a completed application has been approved by our adoption committee.   Email Us:",Adorable Dog Rescue,Arizona,http://AdorableDogRescue.org,AZ
